alpha,gamma,epsilon,episodes,rewards
0.8, 0.99, 0.5, 50000, 79
0.8, 0.99, 0.5, 100000, 82
0.8, 0.95, 0.9, 10000, 16
0.8, 0.95, 0.9, 50000, 90
0.8, 0.95, 0.9, 100000, 86
0.8, 0.95, 0.8, 10000, 83
0.8, 0.95, 0.8, 50000, 91
0.8, 0.95, 0.8, 100000, 82
0.8, 0.95, 0.7, 10000, 32
0.8, 0.95, 0.7, 50000, 29
0.8, 0.95, 0.7, 100000, 80
0.8, 0.95, 0.5, 10000, 11
0.8, 0.95, 0.5, 50000, 77
0.8, 0.95, 0.5, 100000, 43
0.8, 0.9, 0.9, 10000, 12
0.8, 0.9, 0.9, 50000, 18
0.8, 0.9, 0.9, 100000, 81
0.8, 0.9, 0.8, 10000, 13
0.8, 0.9, 0.8, 50000, 72
0.8, 0.9, 0.8, 100000, 74
0.8, 0.9, 0.7, 10000, 30
0.8, 0.9, 0.7, 50000, 15
0.8, 0.9, 0.7, 100000, 74
0.8, 0.9, 0.5, 10000, 19
0.8, 0.9, 0.5, 50000, 27
0.8, 0.9, 0.5, 100000, 78
0.8, 0.85, 0.9, 10000, 8
0.8, 0.85, 0.9, 50000, 46
0.8, 0.85, 0.9, 100000, 84
0.8, 0.85, 0.8, 10000, 46
0.8, 0.85, 0.8, 50000, 44
0.8, 0.85, 0.8, 100000, 46
0.8, 0.85, 0.7, 10000, 47
0.8, 0.85, 0.7, 50000, 37
0.8, 0.85, 0.7, 100000, 80
0.8, 0.85, 0.5, 10000, 32
0.8, 0.85, 0.5, 50000, 66
0.8, 0.85, 0.5, 100000, 45
0.8, 0.8, 0.9, 10000, 7
0.8, 0.8, 0.9, 50000, 0
0.8, 0.8, 0.9, 100000, 55
0.8, 0.8, 0.8, 10000, 9
0.8, 0.8, 0.8, 50000, 75
0.8, 0.8, 0.8, 100000, 47
0.8, 0.8, 0.7, 10000, 32
0.8, 0.8, 0.7, 50000, 62
0.8, 0.8, 0.7, 100000, 52
0.8, 0.8, 0.5, 10000, 0
0.8, 0.8, 0.5, 50000, 38
0.8, 0.8, 0.5, 100000, 46
0.8, 0.75, 0.9, 10000, 62
0.8, 0.75, 0.9, 50000, 18
0.8, 0.75, 0.9, 100000, 21
0.8, 0.75, 0.8, 10000, 14
0.8, 0.75, 0.8, 50000, 49
0.8, 0.75, 0.8, 100000, 45
0.8, 0.75, 0.7, 10000, 62
0.8, 0.75, 0.7, 50000, 46
0.8, 0.75, 0.7, 100000, 43
0.8, 0.75, 0.5, 10000, 11
0.8, 0.75, 0.5, 50000, 52
0.8, 0.75, 0.5, 100000, 42
0.8, 0.5, 0.9, 10000, 0
0.8, 0.5, 0.9, 50000, 10
0.8, 0.5, 0.9, 100000, 16
0.8, 0.5, 0.8, 10000, 17
0.8, 0.5, 0.8, 50000, 3
0.8, 0.5, 0.8, 100000, 11
0.8, 0.5, 0.7, 10000, 1
0.8, 0.5, 0.7, 50000, 15
0.8, 0.5, 0.7, 100000, 38
0.8, 0.5, 0.5, 10000, 10
0.8, 0.5, 0.5, 50000, 16
0.8, 0.5, 0.5, 100000, 29
0.8, 0.3, 0.9, 10000, 8
0.8, 0.3, 0.9, 50000, 45
0.8, 0.3, 0.9, 100000, 5
0.8, 0.3, 0.8, 10000, 8
0.8, 0.3, 0.8, 50000, 3
0.8, 0.3, 0.8, 100000, 10
0.8, 0.3, 0.7, 10000, 14
0.8, 0.3, 0.7, 50000, 13
0.8, 0.3, 0.7, 100000, 18
0.8, 0.3, 0.5, 10000, 0
0.8, 0.3, 0.5, 50000, 6
0.8, 0.3, 0.5, 100000, 16
0.7, 0.99, 0.9, 10000, 15
0.7, 0.99, 0.9, 50000, 76
0.7, 0.99, 0.9, 100000, 79
0.7, 0.99, 0.8, 10000, 27
0.7, 0.99, 0.8, 50000, 81
0.7, 0.99, 0.8, 100000, 77
0.7, 0.99, 0.7, 10000, 0
0.7, 0.99, 0.7, 50000, 83
0.7, 0.99, 0.7, 100000, 78
0.7, 0.99, 0.5, 10000, 8
0.7, 0.99, 0.5, 50000, 84
0.7, 0.99, 0.5, 100000, 34
0.7, 0.95, 0.9, 10000, 17
0.7, 0.95, 0.9, 50000, 83
0.7, 0.95, 0.9, 100000, 83
0.7, 0.95, 0.8, 10000, 7
0.7, 0.95, 0.8, 50000, 76
0.7, 0.95, 0.8, 100000, 54
0.7, 0.95, 0.7, 10000, 81
0.7, 0.95, 0.7, 50000, 75
0.7, 0.95, 0.7, 100000, 76
0.7, 0.95, 0.5, 10000, 9
0.7, 0.95, 0.5, 50000, 76
0.7, 0.95, 0.5, 100000, 83
0.7, 0.9, 0.9, 10000, 23
0.7, 0.9, 0.9, 50000, 56
0.7, 0.9, 0.9, 100000, 19
0.7, 0.9, 0.8, 10000, 0
0.7, 0.9, 0.8, 50000, 74
0.7, 0.9, 0.8, 100000, 68
0.7, 0.9, 0.7, 10000, 0
0.7, 0.9, 0.7, 50000, 83
0.7, 0.9, 0.7, 100000, 67
0.7, 0.9, 0.5, 10000, 71
0.7, 0.9, 0.5, 50000, 23
0.7, 0.9, 0.5, 100000, 72
0.7, 0.85, 0.9, 10000, 8
0.7, 0.85, 0.9, 50000, 44
0.7, 0.85, 0.9, 100000, 59
0.7, 0.85, 0.8, 10000, 52
0.7, 0.85, 0.8, 50000, 51
0.7, 0.85, 0.8, 100000, 31
0.7, 0.85, 0.7, 10000, 6
0.7, 0.85, 0.7, 50000, 76
0.7, 0.85, 0.7, 100000, 74
